WORD                          COUNT 
comers                            2 
comes                            65 
comfort                           4 
comfortable                      30 
comforted                         1 
comin                             6 
coming                           61 
commence                          1 
commenced                         1 
commercial                        1 
committed                         1 
committee                         1 
common                            7 
companionship                     1 
company                           7 
comparisons                       1 
compilation                       1 
complain                          1 
complained                        1 
complaint                         1 
complexion                        2 
compliance                        5 
complicated                       1 
complices                         2 
compliment                        1 
compliments                       1 
comply                            6 
complying                         3 
compressed                        1 
computer                          2 
computers                         2 
comrade                           1 
concept                           2 
concern                           2 
concerning                        2 
concerns                          1 
concluded                         1 
condition                         3 
confesses                         1 
confidence                        3 
confidential                      1 
confiding                         1 
confirmation                      1 
confirmed                         1 
conflict                          1 
confound                          3 
congregation                      1 
congress                          3 
connection                        1 
conqueror                         1 
conscience                        7 
consecutive                       1 
consekens                         1 
consequence                       1 
consequences                      1 
consequential                     1 
considable                        6 
consider                          3 
considerable                     36 
consideration                     1 
considerble                       4 
considered                        1 
considerin                        1 
considering                       1 
constant                          3 
consulting                        1 
consummation                      1 
consumption                       1 
contact                           4 
contagion                         1 
contain                           2 
containing                        1 
contented                         1 
contents                          1 
contested                         1 
continental                       2 
contract                          1 
contracted                        1 
contrary                          1 
contributions                     2 
contrite                          1 
contrive                          1 
contrived                         1 
contumely                         1 
conveniences                      2 
convenient                        2 
convention                        1 
convert                           1 
convince                          1 
convinced                         1 
cook                              6 
cooked                            6 
cooking                           3 
cool                             12 
cooled                            1 
cooper                            1 
copied                            2 
copies                            8 
copy                             12 
copying                           4 
copyright                        20 
cordwood                          2 
corked                            1 
corn                             17 
corner                           21 
cornered                          2 
corners                           1 
cornfields                        1 
corporation                       1 
corpse                            6 
correct                           3 
corrupt                           1 
coss                              1 
cost                             10 
costs                             3 
costume                           1 
costumes                          2 
cot                               1 
cotton                            3 
cottonwood                        4 
cottonwoods                       3 
couchant                          1 
cough                             3 
coughing                          2 
could                           300 
couldn                          219 
couldst                           1 
count                            14 
counted                           9 
counter                           1 
counterfeit                       2 
counting                          3 
countries                         1 
country                          42 
counts                            2 
county                            2 
couple                           38 
courage                           2 
course                           44 
court                             6 
courting                          2 
courts                            2 
cousin                            3 
cove                              1 
cover                             4 
covered                           4 
covering                          1 
cow                              11 
coward                            4 
cowards                           3 
cowhide                           3 
cowhiding                         1 
cowpath                           1 
